"yday","subsectionname","trailname","trailnumber","timeframe","wday","max.count","subsectionF"
56,"Raptor View","Raptor View",530,2021-02-25,"Thu",NA,"Raptor View"
57,"Upper Brackett Creek","Upper Brackett Creek",526,2021-02-26,"Fri",NA,"Upper Brackett Creek"
58,"Truman to Jones","Bridger Foothills",534,2021-02-27,"Sat",NA,"Truman to Jones"
64,"M shortcut","M shortcut",512,2021-03-05,"Fri",NA,"M shortcut"
66,"Middle Cottonwood","Middle Cottonwood",586,2021-03-07,"Sun",NA,"Middle Cottonwood"
67,"East Bridger North","East Bridger North",539,2021-03-08,"Mon",NA,"East Bridger North"
68,"Truman Gulch","Truman Gulch",535,2021-03-09,"Tue",NA,"Truman Gulch"
69,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-03-10,"Wed",NA,"Middle Cottonwood to Bostwick"
70,"North Cottonwood Access","North Cottonwood Access",546,2021-03-11,"Thu",NA,"North Cottonwood Access"
71,"New World Gulch","New World Gulch",50,2021-03-12,"Fri",NA,"New World Gulch"
72,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-03-13,"Sat",NA,"North Cottonwood to Johnson Canyon"
73,"Bridger","Bridger Ridge",513,2021-03-14,"Sun",NA,"Bridger"
74,"Corbly Gulch","Corbly Gulch",544,2021-03-15,"Mon",NA,"Corbly Gulch"
75,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-03-16,"Tue",NA,"Felix Canyon Rd"
76,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-03-17,"Wed",NA,"Sypes to Middle Cottonwood"
77,"Bostwick to Truman","Bridger Foothills",534,2021-03-18,"Thu",NA,"Bostwick to Truman"
78,"Baldy to Bridger","Bridger Ridge",513,2021-03-19,"Fri",NA,"Baldy to Bridger"
79,"Fairy Creek","Fairy Creek",500,2021-03-20,"Sat",NA,"Fairy Creek"
80,"Fairy Lakeshore","Fairy Lakeshore",499,2021-03-21,"Sun",NA,"Fairy Lakeshore"
81,"Jones to Ross Pass","Bridger Foothills",534,2021-03-22,"Mon",NA,"Jones to Ross Pass"
82,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-03-23,"Tue",NA,"Sacagawea Peak to Sacagawea Pass"
83,"Ross Pass","Ross Pass",551,2021-03-24,"Wed",NA,"Ross Pass"
84,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-03-25,"Thu",NA,"Fairy Lake Shortcut"
85,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-03-26,"Fri",NA,"Johnson Canyon Jeep Trail"
86,"Sacagawea Pass","Sacagawea Pass",518,2021-03-27,"Sat",NA,"Sacagawea Pass"
87,"Lower Shafthouse","Shafthouse Hill",540,2021-03-28,"Sun",NA,"Lower Shafthouse"
88,"North Cottonwood to Ridge","North Cottonwood",545,2021-03-29,"Mon",NA,"North Cottonwood to Ridge"
89,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-03-30,"Tue",NA,"Ross Pass to Sacagawea Peak"
90,"Bridger to Ross Pass","Bridger Ridge",513,2021-03-31,"Wed",NA,"Bridger to Ross Pass"
91,"Carroll Creek","Carroll Creek",527,2021-04-01,"Thu",NA,"Carroll Creek"
92,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-04-02,"Fri",NA,"Flathead Pass Rd"
93,"Upper Shafthouse","Shafthouse Hill",540,2021-04-03,"Sat",NA,"Upper Shafthouse"
94,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-04-04,"Sun",NA,"S Fork Brackett Creek"
95,"East Bridger South","East Bridger South",538,2021-04-05,"Mon",NA,"East Bridger South"
96,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-04-06,"Tue",NA,"Ross Pass to Sacagawea Pass"
97,"Raptor View","Raptor View",530,2021-04-07,"Wed",NA,"Raptor View"
98,"Upper Brackett Creek","Upper Brackett Creek",526,2021-04-08,"Thu",NA,"Upper Brackett Creek"
99,"Truman to Jones","Bridger Foothills",534,2021-04-09,"Fri",NA,"Truman to Jones"
106,"Sypes Canyon","Sypes Canyon",531,2021-04-16,"Fri",NA,"Sypes Canyon"
107,"Middle Cottonwood","Middle Cottonwood",586,2021-04-17,"Sat",NA,"Middle Cottonwood"
108,"East Bridger North","East Bridger North",539,2021-04-18,"Sun",NA,"East Bridger North"
109,"Truman Gulch","Truman Gulch",535,2021-04-19,"Mon",NA,"Truman Gulch"
110,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-04-20,"Tue",NA,"Middle Cottonwood to Bostwick"
111,"North Cottonwood Access","North Cottonwood Access",546,2021-04-21,"Wed",NA,"North Cottonwood Access"
112,"New World Gulch","New World Gulch",50,2021-04-22,"Thu",NA,"New World Gulch"
113,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-04-23,"Fri",NA,"North Cottonwood to Johnson Canyon"
114,"Bridger","Bridger Ridge",513,2021-04-24,"Sat",NA,"Bridger"
115,"Corbly Gulch","Corbly Gulch",544,2021-04-25,"Sun",NA,"Corbly Gulch"
116,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-04-26,"Mon",NA,"Felix Canyon Rd"
117,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-04-27,"Tue",NA,"Sypes to Middle Cottonwood"
118,"Bostwick to Truman","Bridger Foothills",534,2021-04-28,"Wed",NA,"Bostwick to Truman"
119,"Baldy to Bridger","Bridger Ridge",513,2021-04-29,"Thu",NA,"Baldy to Bridger"
120,"Fairy Creek","Fairy Creek",500,2021-04-30,"Fri",NA,"Fairy Creek"
121,"Fairy Lakeshore","Fairy Lakeshore",499,2021-05-01,"Sat",NA,"Fairy Lakeshore"
122,"Jones to Ross Pass","Bridger Foothills",534,2021-05-02,"Sun",NA,"Jones to Ross Pass"
123,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-05-03,"Mon",NA,"Sacagawea Peak to Sacagawea Pass"
124,"Ross Pass","Ross Pass",551,2021-05-04,"Tue",NA,"Ross Pass"
125,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-05-05,"Wed",NA,"Fairy Lake Shortcut"
126,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-05-06,"Thu",NA,"Johnson Canyon Jeep Trail"
127,"Sacagawea Pass","Sacagawea Pass",518,2021-05-07,"Fri",NA,"Sacagawea Pass"
128,"Lower Shafthouse","Shafthouse Hill",540,2021-05-08,"Sat",NA,"Lower Shafthouse"
129,"North Cottonwood to Ridge","North Cottonwood",545,2021-05-09,"Sun",NA,"North Cottonwood to Ridge"
130,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-05-10,"Mon",NA,"Ross Pass to Sacagawea Peak"
131,"Bridger to Ross Pass","Bridger Ridge",513,2021-05-11,"Tue",NA,"Bridger to Ross Pass"
132,"Carroll Creek","Carroll Creek",527,2021-05-12,"Wed",NA,"Carroll Creek"
133,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-05-13,"Thu",NA,"Flathead Pass Rd"
134,"Upper Shafthouse","Shafthouse Hill",540,2021-05-14,"Fri",NA,"Upper Shafthouse"
135,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-05-15,"Sat",NA,"S Fork Brackett Creek"
136,"East Bridger South","East Bridger South",538,2021-05-16,"Sun",NA,"East Bridger South"
137,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-05-17,"Mon",NA,"Ross Pass to Sacagawea Pass"
138,"Raptor View","Raptor View",530,2021-05-18,"Tue",NA,"Raptor View"
139,"Upper Brackett Creek","Upper Brackett Creek",526,2021-05-19,"Wed",NA,"Upper Brackett Creek"
140,"Truman to Jones","Bridger Foothills",534,2021-05-20,"Thu",NA,"Truman to Jones"
149,"East Bridger North","East Bridger North",539,2021-05-29,"Sat",NA,"East Bridger North"
152,"North Cottonwood Access","North Cottonwood Access",546,2021-06-01,"Tue",NA,"North Cottonwood Access"
153,"New World Gulch","New World Gulch",50,2021-06-02,"Wed",NA,"New World Gulch"
154,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-06-03,"Thu",NA,"North Cottonwood to Johnson Canyon"
155,"Bridger","Bridger Ridge",513,2021-06-04,"Fri",NA,"Bridger"
158,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-06-07,"Mon",NA,"Sypes to Middle Cottonwood"
159,"Bostwick to Truman","Bridger Foothills",534,2021-06-08,"Tue",NA,"Bostwick to Truman"
160,"Baldy to Bridger","Bridger Ridge",513,2021-06-09,"Wed",NA,"Baldy to Bridger"
163,"Jones to Ross Pass","Bridger Foothills",534,2021-06-12,"Sat",NA,"Jones to Ross Pass"
165,"Ross Pass","Ross Pass",551,2021-06-14,"Mon",NA,"Ross Pass"
166,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-06-15,"Tue",NA,"Fairy Lake Shortcut"
167,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-06-16,"Wed",NA,"Johnson Canyon Jeep Trail"
168,"Sacagawea Pass","Sacagawea Pass",518,2021-06-17,"Thu",NA,"Sacagawea Pass"
169,"Lower Shafthouse","Shafthouse Hill",540,2021-06-18,"Fri",NA,"Lower Shafthouse"
170,"North Cottonwood to Ridge","North Cottonwood",545,2021-06-19,"Sat",NA,"North Cottonwood to Ridge"
171,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-06-20,"Sun",NA,"Ross Pass to Sacagawea Peak"
172,"Bridger to Ross Pass","Bridger Ridge",513,2021-06-21,"Mon",NA,"Bridger to Ross Pass"
173,"Carroll Creek","Carroll Creek",527,2021-06-22,"Tue",NA,"Carroll Creek"
174,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-06-23,"Wed",NA,"Flathead Pass Rd"
175,"Upper Shafthouse","Shafthouse Hill",540,2021-06-24,"Thu",NA,"Upper Shafthouse"
176,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-06-25,"Fri",NA,"S Fork Brackett Creek"
177,"East Bridger South","East Bridger South",538,2021-06-26,"Sat",NA,"East Bridger South"
178,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-06-27,"Sun",NA,"Ross Pass to Sacagawea Pass"
179,"Raptor View","Raptor View",530,2021-06-28,"Mon",NA,"Raptor View"
180,"Upper Brackett Creek","Upper Brackett Creek",526,2021-06-29,"Tue",NA,"Upper Brackett Creek"
181,"Truman to Jones","Bridger Foothills",534,2021-06-30,"Wed",NA,"Truman to Jones"
193,"North Cottonwood Access","North Cottonwood Access",546,2021-07-12,"Mon",NA,"North Cottonwood Access"
194,"New World Gulch","New World Gulch",50,2021-07-13,"Tue",NA,"New World Gulch"
195,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-07-14,"Wed",NA,"North Cottonwood to Johnson Canyon"
196,"Bridger","Bridger Ridge",513,2021-07-15,"Thu",NA,"Bridger"
198,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-07-17,"Sat",NA,"Felix Canyon Rd"
199,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-07-18,"Sun",NA,"Sypes to Middle Cottonwood"
200,"Bostwick to Truman","Bridger Foothills",534,2021-07-19,"Mon",NA,"Bostwick to Truman"
201,"Baldy to Bridger","Bridger Ridge",513,2021-07-20,"Tue",NA,"Baldy to Bridger"
203,"Fairy Lakeshore","Fairy Lakeshore",499,2021-07-22,"Thu",NA,"Fairy Lakeshore"
204,"Jones to Ross Pass","Bridger Foothills",534,2021-07-23,"Fri",NA,"Jones to Ross Pass"
206,"Ross Pass","Ross Pass",551,2021-07-25,"Sun",NA,"Ross Pass"
207,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-07-26,"Mon",NA,"Fairy Lake Shortcut"
208,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-07-27,"Tue",NA,"Johnson Canyon Jeep Trail"
209,"Sacagawea Pass","Sacagawea Pass",518,2021-07-28,"Wed",NA,"Sacagawea Pass"
210,"Lower Shafthouse","Shafthouse Hill",540,2021-07-29,"Thu",NA,"Lower Shafthouse"
211,"North Cottonwood to Ridge","North Cottonwood",545,2021-07-30,"Fri",NA,"North Cottonwood to Ridge"
213,"Bridger to Ross Pass","Bridger Ridge",513,2021-08-01,"Sun",NA,"Bridger to Ross Pass"
214,"Carroll Creek","Carroll Creek",527,2021-08-02,"Mon",NA,"Carroll Creek"
215,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-08-03,"Tue",NA,"Flathead Pass Rd"
216,"Upper Shafthouse","Shafthouse Hill",540,2021-08-04,"Wed",NA,"Upper Shafthouse"
217,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-08-05,"Thu",NA,"S Fork Brackett Creek"
218,"East Bridger South","East Bridger South",538,2021-08-06,"Fri",NA,"East Bridger South"
220,"Raptor View","Raptor View",530,2021-08-08,"Sun",NA,"Raptor View"
221,"Upper Brackett Creek","Upper Brackett Creek",526,2021-08-09,"Mon",NA,"Upper Brackett Creek"
222,"Truman to Jones","Bridger Foothills",534,2021-08-10,"Tue",NA,"Truman to Jones"
230,"Middle Cottonwood","Middle Cottonwood",586,2021-08-18,"Wed",NA,"Middle Cottonwood"
231,"East Bridger North","East Bridger North",539,2021-08-19,"Thu",NA,"East Bridger North"
235,"New World Gulch","New World Gulch",50,2021-08-23,"Mon",NA,"New World Gulch"
236,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-08-24,"Tue",NA,"North Cottonwood to Johnson Canyon"
239,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-08-27,"Fri",NA,"Felix Canyon Rd"
240,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-08-28,"Sat",NA,"Sypes to Middle Cottonwood"
241,"Bostwick to Truman","Bridger Foothills",534,2021-08-29,"Sun",NA,"Bostwick to Truman"
242,"Baldy to Bridger","Bridger Ridge",513,2021-08-30,"Mon",NA,"Baldy to Bridger"
243,"Fairy Creek","Fairy Creek",500,2021-08-31,"Tue",NA,"Fairy Creek"
244,"Fairy Lakeshore","Fairy Lakeshore",499,2021-09-01,"Wed",NA,"Fairy Lakeshore"
245,"Jones to Ross Pass","Bridger Foothills",534,2021-09-02,"Thu",NA,"Jones to Ross Pass"
247,"Ross Pass","Ross Pass",551,2021-09-04,"Sat",NA,"Ross Pass"
249,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-09-06,"Mon",NA,"Johnson Canyon Jeep Trail"
250,"Sacagawea Pass","Sacagawea Pass",518,2021-09-07,"Tue",NA,"Sacagawea Pass"
251,"Lower Shafthouse","Shafthouse Hill",540,2021-09-08,"Wed",NA,"Lower Shafthouse"
252,"North Cottonwood to Ridge","North Cottonwood",545,2021-09-09,"Thu",NA,"North Cottonwood to Ridge"
253,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-09-10,"Fri",NA,"Ross Pass to Sacagawea Peak"
255,"Carroll Creek","Carroll Creek",527,2021-09-12,"Sun",NA,"Carroll Creek"
256,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-09-13,"Mon",NA,"Flathead Pass Rd"
257,"Upper Shafthouse","Shafthouse Hill",540,2021-09-14,"Tue",NA,"Upper Shafthouse"
258,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-09-15,"Wed",NA,"S Fork Brackett Creek"
259,"East Bridger South","East Bridger South",538,2021-09-16,"Thu",NA,"East Bridger South"
260,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-09-17,"Fri",NA,"Ross Pass to Sacagawea Pass"
262,"Upper Brackett Creek","Upper Brackett Creek",526,2021-09-19,"Sun",NA,"Upper Brackett Creek"
263,"Truman to Jones","Bridger Foothills",534,2021-09-20,"Mon",NA,"Truman to Jones"
266,"College M to Sypes","Bridger Foothills",534,2021-09-23,"Thu",NA,"College M to Sypes"
270,"Sypes Canyon","Sypes Canyon",531,2021-09-27,"Mon",NA,"Sypes Canyon"
272,"East Bridger North","East Bridger North",539,2021-09-29,"Wed",NA,"East Bridger North"
273,"Truman Gulch","Truman Gulch",535,2021-09-30,"Thu",NA,"Truman Gulch"
274,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-10-01,"Fri",NA,"Middle Cottonwood to Bostwick"
275,"North Cottonwood Access","North Cottonwood Access",546,2021-10-02,"Sat",NA,"North Cottonwood Access"
277,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-10-04,"Mon",NA,"North Cottonwood to Johnson Canyon"
278,"Bridger","Bridger Ridge",513,2021-10-05,"Tue",NA,"Bridger"
279,"Corbly Gulch","Corbly Gulch",544,2021-10-06,"Wed",NA,"Corbly Gulch"
280,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-10-07,"Thu",NA,"Felix Canyon Rd"
281,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-10-08,"Fri",NA,"Sypes to Middle Cottonwood"
282,"Bostwick to Truman","Bridger Foothills",534,2021-10-09,"Sat",NA,"Bostwick to Truman"
283,"Baldy to Bridger","Bridger Ridge",513,2021-10-10,"Sun",NA,"Baldy to Bridger"
284,"Fairy Creek","Fairy Creek",500,2021-10-11,"Mon",NA,"Fairy Creek"
285,"Fairy Lakeshore","Fairy Lakeshore",499,2021-10-12,"Tue",NA,"Fairy Lakeshore"
286,"Jones to Ross Pass","Bridger Foothills",534,2021-10-13,"Wed",NA,"Jones to Ross Pass"
287,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-10-14,"Thu",NA,"Sacagawea Peak to Sacagawea Pass"
288,"Ross Pass","Ross Pass",551,2021-10-15,"Fri",NA,"Ross Pass"
289,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-10-16,"Sat",NA,"Fairy Lake Shortcut"
290,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-10-17,"Sun",NA,"Johnson Canyon Jeep Trail"
291,"Sacagawea Pass","Sacagawea Pass",518,2021-10-18,"Mon",NA,"Sacagawea Pass"
292,"Lower Shafthouse","Shafthouse Hill",540,2021-10-19,"Tue",NA,"Lower Shafthouse"
293,"North Cottonwood to Ridge","North Cottonwood",545,2021-10-20,"Wed",NA,"North Cottonwood to Ridge"
294,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-10-21,"Thu",NA,"Ross Pass to Sacagawea Peak"
295,"Bridger to Ross Pass","Bridger Ridge",513,2021-10-22,"Fri",NA,"Bridger to Ross Pass"
296,"Carroll Creek","Carroll Creek",527,2021-10-23,"Sat",NA,"Carroll Creek"
297,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-10-24,"Sun",NA,"Flathead Pass Rd"
298,"Upper Shafthouse","Shafthouse Hill",540,2021-10-25,"Mon",NA,"Upper Shafthouse"
299,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-10-26,"Tue",NA,"S Fork Brackett Creek"
300,"East Bridger South","East Bridger South",538,2021-10-27,"Wed",NA,"East Bridger South"
301,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-10-28,"Thu",NA,"Ross Pass to Sacagawea Pass"
302,"Raptor View","Raptor View",530,2021-10-29,"Fri",NA,"Raptor View"
303,"Upper Brackett Creek","Upper Brackett Creek",526,2021-10-30,"Sat",NA,"Upper Brackett Creek"
304,"Truman to Jones","Bridger Foothills",534,2021-10-31,"Sun",NA,"Truman to Jones"
306,"College M","Bridger Foothills",534,2021-11-02,"Tue",NA,"College M"
307,"College M to Sypes","Bridger Foothills",534,2021-11-03,"Wed",NA,"College M to Sypes"
308,"Steep Way","Bridger Ridge",513,2021-11-04,"Thu",NA,"Steep Way"
309,"M to Baldy","Bridger Ridge",513,2021-11-05,"Fri",NA,"M to Baldy"
310,"M shortcut","M shortcut",512,2021-11-06,"Sat",NA,"M shortcut"
311,"Sypes Canyon","Sypes Canyon",531,2021-11-07,"Sun",NA,"Sypes Canyon"
312,"Middle Cottonwood","Middle Cottonwood",586,2021-11-08,"Mon",NA,"Middle Cottonwood"
313,"East Bridger North","East Bridger North",539,2021-11-09,"Tue",NA,"East Bridger North"
314,"Truman Gulch","Truman Gulch",535,2021-11-10,"Wed",NA,"Truman Gulch"
315,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-11-11,"Thu",NA,"Middle Cottonwood to Bostwick"
316,"North Cottonwood Access","North Cottonwood Access",546,2021-11-12,"Fri",NA,"North Cottonwood Access"
317,"New World Gulch","New World Gulch",50,2021-11-13,"Sat",NA,"New World Gulch"
318,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-11-14,"Sun",NA,"North Cottonwood to Johnson Canyon"
319,"Bridger","Bridger Ridge",513,2021-11-15,"Mon",NA,"Bridger"
320,"Corbly Gulch","Corbly Gulch",544,2021-11-16,"Tue",NA,"Corbly Gulch"
321,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-11-17,"Wed",NA,"Felix Canyon Rd"
322,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-11-18,"Thu",NA,"Sypes to Middle Cottonwood"
323,"Bostwick to Truman","Bridger Foothills",534,2021-11-19,"Fri",NA,"Bostwick to Truman"
324,"Baldy to Bridger","Bridger Ridge",513,2021-11-20,"Sat",NA,"Baldy to Bridger"
325,"Fairy Creek","Fairy Creek",500,2021-11-21,"Sun",NA,"Fairy Creek"
326,"Fairy Lakeshore","Fairy Lakeshore",499,2021-11-22,"Mon",NA,"Fairy Lakeshore"
327,"Jones to Ross Pass","Bridger Foothills",534,2021-11-23,"Tue",NA,"Jones to Ross Pass"
328,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-11-24,"Wed",NA,"Sacagawea Peak to Sacagawea Pass"
329,"Ross Pass","Ross Pass",551,2021-11-25,"Thu",NA,"Ross Pass"
330,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-11-26,"Fri",NA,"Fairy Lake Shortcut"
331,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-11-27,"Sat",NA,"Johnson Canyon Jeep Trail"
332,"Sacagawea Pass","Sacagawea Pass",518,2021-11-28,"Sun",NA,"Sacagawea Pass"
333,"Lower Shafthouse","Shafthouse Hill",540,2021-11-29,"Mon",NA,"Lower Shafthouse"
334,"North Cottonwood to Ridge","North Cottonwood",545,2021-11-30,"Tue",NA,"North Cottonwood to Ridge"
335,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-12-01,"Wed",NA,"Ross Pass to Sacagawea Peak"
336,"Bridger to Ross Pass","Bridger Ridge",513,2021-12-02,"Thu",NA,"Bridger to Ross Pass"
337,"Carroll Creek","Carroll Creek",527,2021-12-03,"Fri",NA,"Carroll Creek"
338,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-12-04,"Sat",NA,"Flathead Pass Rd"
339,"Upper Shafthouse","Shafthouse Hill",540,2021-12-05,"Sun",NA,"Upper Shafthouse"
340,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-12-06,"Mon",NA,"S Fork Brackett Creek"
341,"East Bridger South","East Bridger South",538,2021-12-07,"Tue",NA,"East Bridger South"
342,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-12-08,"Wed",NA,"Ross Pass to Sacagawea Pass"
343,"Raptor View","Raptor View",530,2021-12-09,"Thu",NA,"Raptor View"
344,"Upper Brackett Creek","Upper Brackett Creek",526,2021-12-10,"Fri",NA,"Upper Brackett Creek"
345,"Truman to Jones","Bridger Foothills",534,2021-12-11,"Sat",NA,"Truman to Jones"
346,"College M","College M",511,2021-12-12,"Sun",NA,"College M"
347,"College M","Bridger Foothills",534,2021-12-13,"Mon",NA,"College M"
348,"College M to Sypes","Bridger Foothills",534,2021-12-14,"Tue",NA,"College M to Sypes"
349,"Steep Way","Bridger Ridge",513,2021-12-15,"Wed",NA,"Steep Way"
350,"M to Baldy","Bridger Ridge",513,2021-12-16,"Thu",NA,"M to Baldy"
351,"M shortcut","M shortcut",512,2021-12-17,"Fri",NA,"M shortcut"
352,"Sypes Canyon","Sypes Canyon",531,2021-12-18,"Sat",NA,"Sypes Canyon"
353,"Middle Cottonwood","Middle Cottonwood",586,2021-12-19,"Sun",NA,"Middle Cottonwood"
354,"East Bridger North","East Bridger North",539,2021-12-20,"Mon",NA,"East Bridger North"
355,"Truman Gulch","Truman Gulch",535,2021-12-21,"Tue",NA,"Truman Gulch"
356,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-12-22,"Wed",NA,"Middle Cottonwood to Bostwick"
357,"North Cottonwood Access","North Cottonwood Access",546,2021-12-23,"Thu",NA,"North Cottonwood Access"
358,"New World Gulch","New World Gulch",50,2021-12-24,"Fri",NA,"New World Gulch"
359,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-12-25,"Sat",NA,"North Cottonwood to Johnson Canyon"
360,"Bridger","Bridger Ridge",513,2021-12-26,"Sun",NA,"Bridger"
361,"Corbly Gulch","Corbly Gulch",544,2021-12-27,"Mon",NA,"Corbly Gulch"
362,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-12-28,"Tue",NA,"Felix Canyon Rd"
363,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-12-29,"Wed",NA,"Sypes to Middle Cottonwood"
364,"Bostwick to Truman","Bridger Foothills",534,2021-12-30,"Thu",NA,"Bostwick to Truman"
365,"Baldy to Bridger","Bridger Ridge",513,2021-12-31,"Fri",NA,"Baldy to Bridger"
1,"Fairy Creek","Fairy Creek",500,2021-01-01,"Fri",NA,"Fairy Creek"
2,"Fairy Lakeshore","Fairy Lakeshore",499,2021-01-02,"Sat",NA,"Fairy Lakeshore"
3,"Jones to Ross Pass","Bridger Foothills",534,2021-01-03,"Sun",NA,"Jones to Ross Pass"
4,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-01-04,"Mon",NA,"Sacagawea Peak to Sacagawea Pass"
5,"Ross Pass","Ross Pass",551,2021-01-05,"Tue",NA,"Ross Pass"
6,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-01-06,"Wed",NA,"Fairy Lake Shortcut"
7,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-01-07,"Thu",NA,"Johnson Canyon Jeep Trail"
8,"Sacagawea Pass","Sacagawea Pass",518,2021-01-08,"Fri",NA,"Sacagawea Pass"
9,"Lower Shafthouse","Shafthouse Hill",540,2021-01-09,"Sat",NA,"Lower Shafthouse"
10,"North Cottonwood to Ridge","North Cottonwood",545,2021-01-10,"Sun",NA,"North Cottonwood to Ridge"
11,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-01-11,"Mon",NA,"Ross Pass to Sacagawea Peak"
12,"Bridger to Ross Pass","Bridger Ridge",513,2021-01-12,"Tue",NA,"Bridger to Ross Pass"
13,"Carroll Creek","Carroll Creek",527,2021-01-13,"Wed",NA,"Carroll Creek"
14,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-01-14,"Thu",NA,"Flathead Pass Rd"
15,"Upper Shafthouse","Shafthouse Hill",540,2021-01-15,"Fri",NA,"Upper Shafthouse"
16,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-01-16,"Sat",NA,"S Fork Brackett Creek"
17,"East Bridger South","East Bridger South",538,2021-01-17,"Sun",NA,"East Bridger South"
18,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-01-18,"Mon",NA,"Ross Pass to Sacagawea Pass"
19,"Raptor View","Raptor View",530,2021-01-19,"Tue",NA,"Raptor View"
20,"Upper Brackett Creek","Upper Brackett Creek",526,2021-01-20,"Wed",NA,"Upper Brackett Creek"
21,"Truman to Jones","Bridger Foothills",534,2021-01-21,"Thu",NA,"Truman to Jones"
28,"Sypes Canyon","Sypes Canyon",531,2021-01-28,"Thu",NA,"Sypes Canyon"
